No,Name,Pos,Status,Height,Inches,Random,Weight,Birthdate,Exp,College,Team
96,"Harris, Shelby",DT,ACT,"6'2""",74,0.231355643,290,8/11/1991,5,Illinois State,DEN
4,"Vinatieri, Adam",K,ACT,"6'0""",72,0.230212615,212,12/28/1972,24,South Dakota State,IND
80,"Graham, Jimmy",TE,ACT,"6'7""",79,0.230188454,265,11/24/1986,10,Miami (Fla.),GB
16,"Alexander, Deontez",WR,ACT,"6'1""",73,0.230038934,196,7/25/1996,1,Franklin (Ind.),DET
63,"Fabiano, Anthony",C,ACT,"6'4""",76,0.229967011,303,7/13/1993,1,Harvard,PHI
61,"Parris, Timon",OT,ACT,"6'6""",78,0.229822413,320,9/11/1995,1,Stony Brook,WAS
98,"Lotulelei, Star",DT,ACT,"6'2""",74,0.229482402,315,12/20/1989,7,Utah,BUF
6,"Wadman, Colby",P,ACT,"6'1""",73,0.228854902,213,4/19/1995,2,California-Davis,DEN
71,"Evans, Justin",OT,ACT,"6'5""",77,0.228101108,315,8/19/1995,1,South Carolina State,CIN
30,"Bates, Jessie",FS,ACT,"6'1""",73,0.227354818,200,2/26/1997,2,Wake Forest,CIN
98,"Pennel, Mike",DT,ACT,"6'4""",76,0.227151545,330,5/9/1991,6,Colorado State-Pueblo,NE
30,"Ortiz, Ricky",FB,ACT,"6'0""",72,0.226578139,236,4/15/1994,2,Oregon State,ATL
32,"Ollison, Qadree",RB,ACT,"6'1""",73,0.226255756,228,9/8/1996,0,Pittsburgh,ATL
41,"Austin, Blessuan",DB,ACT,"6'1""",73,0.225872758,198,7/19/1996,0,Rutgers,NYJ
56,"Woodson-Luster, Xavier",LB,ACT,"6'1""",73,0.225404554,220,8/6/1995,2,Arkansas State,HOU
57,"Speaks, Breeland",OLB,ACT,"6'3""",75,0.225102398,285,12/18/1995,2,Mississippi,KC
32,"Mathieu, Tyrann",FS,ACT,"5'9""",69,0.224969919,190,5/13/1992,7,LSU,KC
1,"Poindexter, Shawn",WR,ACT,"6'5""",77,0.224579519,213,12/13/1995,0,Arizona,SF
35,"Desir, Pierre",CB,ACT,"6'1""",73,0.22449467,192,9/8/1990,6,Lindenwood,IND
52,"McCray, Robert",LB,ACT,"6'2""",74,0.224388554,280,3/24/1996,1,Indiana,KC
95,"Jackson, Bijhon",DT,ACT,"6'1""",73,0.223457694,339,11/6/1995,0,Arkansas,CAR
64,"Brendel, Jake",C,ACT,"6'4""",76,0.223030863,299,9/10/1992,4,UCLA,DEN
39,"Jackson, Eddie",FS,ACT,"6'0""",72,0.222602931,202,12/10/1993,3,Alabama,CHI
9,"Brees, Drew",QB,ACT,"6'0""",72,0.222523238,209,1/15/1979,19,Purdue,NO
34,"Averett, Anthony",CB,ACT,"5'11""",71,0.222191318,184,11/30/1994,2,Alabama,BAL
32,"Baker, Budda",SS,ACT,"5'10""",70,0.222154024,195,1/10/1996,3,Washington,ARI
25,"Sherman, Richard",CB,ACT,"6'3""",75,0.222063555,205,3/30/1988,9,Stanford,SF
93,"Stephen, Shamar",DT,ACT,"6'5""",77,0.221848317,309,2/25/1991,6,Connecticut,MIN
13,"Hall, Marvin",WR,ACT,"5'10""",70,0.22181335,190,4/10/1993,3,Washington,CHI
55,"Dunn, Casey",C,RES,"6'4""",76,0.221520681,307,10/11/1994,2,Auburn,WAS
43,"Zamort, Ronald",CB,ACT,"5'10""",70,0.22036296,184,11/10/1991,2,Western Michigan,NYG
68,"Mihalik, Brian",OT,ACT,"6'9""",81,0.219809772,315,8/21/1992,4,Boston College,NYG
78,"Asafo-Adjei, George",OT,ACT,"6'5""",77,0.219026036,320,1/12/1997,0,Kentucky,NYG
24,"Adams, Andrew",DB,ACT,"6'0""",72,0.218346602,198,10/28/1992,4,Connecticut,DET
99,"Clayborn, Adrian",DE,ACT,"6'3""",75,0.217240334,280,7/6/1988,9,Iowa,ATL
17,"Butler, Hakeem",WR,ACT,"6'5""",77,0.216956102,227,5/16/1996,0,Iowa State,ARI
81,"Simms, Marcus",WR,ACT,"6'0""",72,0.216762239,195,12/18/1997,0,West Virginia,JAX
71,"Bailey, Sterling",DE,ACT,"6'3""",75,0.216670066,296,9/13/1992,1,Georgia,ARI
43,"Baldwin, Parker",DB,ACT,"6'2""",74,0.216221733,215,5/6/1997,0,San Diego State,ATL
39,"Penny, Elijhaa",RB,ACT,"6'1""",73,0.215343122,250,8/17/1993,3,Idaho,NYG
11,"Lee, Marqise",WR,ACT,"6'0""",72,0.215173239,196,11/25/1991,6,USC,JAX
34,"Matthews, Tray",DB,ACT,"6'1""",73,0.215107363,213,10/18/1994,1,Auburn,GB
31,"Johnson, David",RB,ACT,"6'1""",73,0.215074174,224,12/16/1991,5,Northern Iowa,ARI
57,"Connelly, Ryan",ILB,ACT,"6'2""",74,0.214626422,236,10/3/1995,0,Wisconsin,NYG
71,"Kelly, Dennis",OT,ACT,"6'8""",80,0.21450496,321,1/16/1990,8,Purdue,TEN
39,"Bonnafon, Reggie",RB,ACT,"6'0""",72,0.214455863,215,1/4/1996,1,Louisville,CAR
41,"Queiro, Kyle",LB,ACT,"6'2""",74,0.213932795,235,12/18/1994,1,Northwestern,DAL
46,"Vaughters, James",LB,ACT,"6'2""",74,0.213906847,254,6/27/1993,1,Stanford,CHI
68,"Brown, Jamon",OG,ACT,"6'4""",76,0.213742422,340,3/15/1993,5,Louisville,ATL
26,"Williams, Greedy",CB,ACT,"6'2""",74,0.212960486,185,12/3/1997,0,LSU,CLE
45,"Speed, E.J.",LB,ACT,"6'3""",75,0.212646351,224,6/1/1995,0,Tarleton State,IND
67,"Lauderdale, Andrew",OT,ACT,"6'6""",78,0.212609354,291,11/22/1993,1,New Hampshire,JAX
87,"Ferguson, Jazz",WR,ACT,"6'5""",77,0.212319062,228,1/12/1997,0,Northwestern State-Louisiana,SEA
63,"Corbett, Austin",OG,ACT,"6'4""",76,0.211782717,306,9/5/1995,2,Nevada,CLE
59,"Trevathan, Danny",ILB,ACT,"6'1""",73,0.210919381,239,3/24/1990,8,Kentucky,CHI
77,"Wylie, Andrew",OT,ACT,"6'6""",78,0.210002655,309,8/19/1994,2,Eastern Michigan,KC
44,"Beasley, Vic",LB,ACT,"6'3""",75,0.209891091,246,7/8/1992,5,Clemson,ATL
92,"Holmes, Jalyn",DT,ACT,"6'5""",77,0.209669586,283,1/25/1996,2,Ohio State,MIN
20,"Thomas, Tavierre",CB,ACT,"5'10""",70,0.209502209,205,3/11/1996,2,Ferris State,CLE
4,"Henne, Chad",QB,ACT,"6'3""",75,0.208961092,222,7/2/1985,12,Michigan,KC
38,"Johnson, Isaiah",DB,ACT,"6'1""",73,0.208822048,210,5/16/1992,2,Georgia Tech,IND
41,"Rouse, Nydair",DB,ACT,"5'11""",71,0.208806826,188,6/13/1995,0,West Chester,GB
18,"Kirkwood, Keith",WR,ACT,"6'3""",75,0.208306307,210,12/26/1994,2,Temple,NO
94,"Davis, Carl",DT,ACT,"6'5""",77,0.208205213,320,3/2/1992,5,Iowa,CLE
40,"Harvey-Clemons, Josh",LB,ACT,"6'4""",76,0.207128085,245,2/20/1994,3,Louisville,WAS
23,"Clark, Jeremy",CB,ACT,"6'3""",75,0.206781185,220,6/29/1994,1,Michigan,NYJ
51,"Mata'afa, Hercules",DE,ACT,"6'2""",74,0.206201648,254,9/18/1995,2,Washington State,MIN
39,"Howard, A.J.",DB,ACT,"5'11""",71,0.2061848,203,12/23/1995,1,Appalachian State,NE
12,"Robinson, Allen",WR,ACT,"6'3""",75,0.204784973,211,8/24/1993,6,Penn State,CHI
15,"Minshew, Gardner",QB,ACT,"6'1""",73,0.204033383,225,5/16/1996,0,Washington State,JAX
98,"Rankins, Sheldon",DT,ACT,"6'2""",74,0.203807775,305,4/2/1994,4,Louisville,NO
6,"Fox, Jack",P,ACT,"6'2""",74,0.203512174,224,9/1/1996,0,Rice,KC
67,"Pugh, Justin",OG,ACT,"6'5""",77,0.203484684,311,8/15/1990,7,Syracuse,ARI
58,"Sheldon, Brady",LB,ACT,"6'5""",77,0.20320923,231,2/23/1993,1,Ferris State,GB
19,"Baker, Dorian",WR,ACT,"6'3""",75,0.203148095,213,6/1/1996,0,Kentucky,CLE
57,"Pankey, Adam",OG,ACT,"6'5""",77,0.202639771,313,2/2/1994,2,West Virginia,GB
65,"Mekari, Patrick",OG,ACT,"6'4""",76,0.202460041,308,8/13/1997,0,California,BAL
50,"Harris, Chuck",LB,ACT,"6'4""",76,0.201889895,255,11/23/1997,0,Buffalo,CHI
43,"Kunaszyk, Jordan",ILB,ACT,"6'3""",75,0.201703652,235,10/15/1996,0,California,CAR
68,"Aruna, Ade",DE,ACT,"6'5""",77,0.201697786,263,4/27/1994,2,Tulane,MIN
78,"Ledbetter, Jeremiah",DE,ACT,"6'3""",75,0.20147789,295,6/2/1994,2,Arkansas,TB
59,"Harold, Eli",DE,ACT,"6'3""",75,0.201171079,243,1/20/1994,5,Virginia,BUF
41,"Moseley, Emmanuel",DB,ACT,"5'11""",71,0.200771069,190,3/25/1996,2,Tennessee,SF
14,"Sutton, Courtland",WR,ACT,"6'4""",76,0.20055518,216,10/10/1995,2,Southern Methodist,DEN
93,"Coley, Trevon",DT,ACT,"6'1""",73,0.200497243,310,7/13/1994,3,Florida Atlantic,CLE
69,"McGlinchey, Mike",OT,ACT,"6'8""",80,0.20045774,310,1/12/1995,2,Notre Dame,SF
71,"Witzmann, Bryan",OG,ACT,"6'7""",79,0.199922711,320,6/16/1990,5,South Dakota State,CLE
36,"Harrison, Ronnie",DB,ACT,"6'3""",75,0.199653698,207,4/18/1997,2,Alabama,JAX
81,"Hurst, Hayden",TE,ACT,"6'4""",76,0.199635049,260,8/24/1993,2,South Carolina,BAL
92,"Kpassagnon, Tanoh",LB,ACT,"6'7""",79,0.198087421,289,6/14/1994,3,Villanova,KC
60,"Omameh, Patrick",OG,ACT,"6'4""",76,0.198017012,327,12/29/1989,7,Michigan,NO
46,"Brooks-James, Tony",RB,ACT,"5'9""",69,0.197801938,190,12/6/1994,0,Oregon,ATL
38,"Kelly, Kam",DB,ACT,"6'2""",74,0.196861802,205,8/19/1996,1,San Diego State,PIT
30,"Lammons, Chris",DB,ACT,"5'10""",70,0.195831134,190,1/31/1996,1,South Carolina,MIA
69,"Wynn, Jonathan",DE,ACT,"6'4""",76,0.195036208,256,9/21/1994,1,Vanderbilt,DET
20,"Ward, Jimmie",CB,ACT,"5'11""",71,0.194443203,195,7/18/1991,6,Northern Illinois,SF
32,"Leavitt, Dallin",DB,ACT,"5'10""",70,0.194405564,195,8/8/1994,1,Utah State,OAK
51,"Mingo, Barkevious",OLB,ACT,"6'5""",77,0.194315011,235,10/4/1990,7,LSU,SEA
70,"Lamm, Kendall",OT,ACT,"6'5""",77,0.194007118,310,6/5/1992,5,Appalachian State,CLE
91,"Hendrickson, Trey",DE,ACT,"6'4""",76,0.193638318,270,12/5/1994,3,Florida Atlantic,NO
27,"White, Tre'Davious",CB,ACT,"5'11""",71,0.193405911,192,1/16/1995,3,LSU,BUF
24,"Gilmore, Stephon",CB,ACT,"6'1""",73,0.192898837,202,9/19/1990,8,South Carolina,NE
20,"Worley, Daryl",CB,ACT,"6'1""",73,0.192801197,215,2/22/1995,4,West Virginia,OAK
17,"Allen, Josh",QB,ACT,"6'5""",77,0.192358353,237,5/21/1996,2,Wyoming,BUF
25,"Redmond, Will",CB,ACT,"5'11""",71,0.192338443,186,12/28/1993,4,Mississippi State,GB
56,"Harvey, Willie",LB,ACT,"5'11""",71,0.19210939,230,1/9/1996,0,Iowa State,CLE
,"Boston, Tre",DB,ACT,"6'1""",73,0.191627464,205,6/25/1992,6,North Carolina,CAR
52,"Keenoy, John",C,ACT,"6'3""",75,0.191607378,300,2/26/1997,0,Western Michigan,MIN
85,"Tonyan, Robert",TE,ACT,"6'5""",77,0.191548094,237,4/30/1994,2,Indiana State,GB
30,"Joseph, Michael",CB,ACT,"6'1""",73,0.191399755,187,3/19/1995,1,Dubuque,CHI
78,"Brown, Orlando",OT,ACT,"6'8""",80,0.190203902,355,5/2/1996,2,Oklahoma,BAL
40,"Jones, JT",LB,ACT,"6'3""",75,0.189793294,245,11/12/1993,1,Miami (Ohio),PIT
96,"Savage-Lewis, Ira",DT,ACT,"6'3""",75,0.189742161,290,2/6/1996,0,Baylor,HOU
87,"Uzomah, C.J.",TE,ACT,"6'6""",78,0.189306405,260,1/14/1993,5,Auburn,CIN
94,"Obada, Efe",DE,ACT,"6'6""",78,0.188941579,265,4/13/1992,2,No College,CAR
29,"Goodwin, C.J.",DB,ACT,"6'3""",75,0.188686865,198,2/4/1990,4,California (PA),DAL
67,"Joseph, Dieugot",OT,ACT,"6'6""",78,0.188686095,300,3/21/1994,1,Florida International,ATL
22,"Smith, Harrison",FS,ACT,"6'2""",74,0.187276171,214,2/2/1989,8,Notre Dame,MIN
80,"Wesley, Alex",WR,ACT,"6'0""",72,0.187166659,190,10/27/1995,0,Northern Colorado,NYG
13,"Allen, Keenan",WR,ACT,"6'2""",74,0.187080848,211,4/27/1992,7,California,LAC
83,"Toilolo, Levine",TE,ACT,"6'8""",80,0.186858812,268,7/30/1991,7,Stanford,SF
63,"Lindstrom, Chris",OG,ACT,"6'4""",76,0.186069848,310,2/8/1997,0,Boston College,ATL
69,"Holden, Will",OG,ACT,"6'7""",79,0.185715238,312,9/14/1993,2,Vanderbilt,MIA
61,"Golditch, Zack",OT,ACT,"6'5""",77,0.185437346,295,2/22/1995,2,Colorado State,KC
67,"Nelson, Matt",OT,ACT,"6'8""",80,0.185236494,295,12/19/1995,0,Iowa,DET
32,"Olumba, Donovan",CB,ACT,"6'2""",74,0.184938814,205,9/26/1995,1,Portland State,DAL
24,"Lucas, Jordan",SS,ACT,"6'1""",73,0.183967247,190,8/2/1993,4,Penn State,KC
94,"Mbu, Joey",DT,ACT,"6'3""",75,0.183775004,330,3/28/1993,2,Houston,MIA
10,"Humphries, Adam",WR,ACT,"5'11""",71,0.183729993,195,6/24/1993,5,Clemson,TEN
28,"Hilton, Mike",CB,ACT,"5'9""",69,0.18362389,184,3/9/1994,3,Mississippi,PIT
53,"Burns, Brian",DE,ACT,"6'5""",77,0.183505641,250,4/23/1998,0,Florida State,CAR
7,"Ficken, Sam",K,ACT,"6'1""",73,0.183452484,192,12/14/1992,1,Penn State,GB
18,"Fowler, Bennie",WR,ACT,"6'1""",73,0.183255804,218,6/10/1991,5,Michigan State,NYG
46,"Parham, Donald",TE,ACT,"6'8""",80,0.183108956,255,8/16/1997,0,Stetson,WAS
23,"Hyde, Micah",SS,ACT,"6'0""",72,0.182915955,197,12/31/1990,7,Iowa,BUF
,"Cyprien, Johnathan",DB,ACT,"6'1""",73,0.182343849,211,7/29/1990,7,Florida International,PHI
82,"Yelder, Deon",TE,ACT,"6'4""",76,0.182246832,255,3/6/1995,2,Western Kentucky,KC
50,"Wallace, Aaron",LB,ACT,"6'2""",74,0.182233208,242,7/8/1993,3,UCLA,DEN
62,"Hearn, Taylor",OG,ACT,"6'4""",76,0.182050005,315,1/11/1996,1,Clemson,CAR
57,"Gifford, Luke",LB,ACT,"6'3""",75,0.181717083,245,8/28/1995,0,Nebraska,DAL
2,"Stick, Easton",QB,ACT,"6'1""",73,0.180865009,217,9/15/1995,0,North Dakota State,LAC
94,"Green, Rasheem",DE,ACT,"6'4""",76,0.180797656,279,5/15/1997,2,USC,SEA
41,"Neasman, Sharrod",DB,ACT,"6'0""",72,0.180672443,198,10/14/1991,4,Florida Atlantic,ATL
4,"Colquitt, Britton",P,ACT,"6'3""",75,0.179989832,210,3/20/1985,10,Tennessee,CLE
66,"Agasiva, Jordan",OG,ACT,"6'3""",75,0.17946558,320,5/21/1997,0,Utah,JAX
97,"Bosa, Joey",DE,ACT,"6'5""",77,0.179421539,280,7/11/1995,4,Ohio State,LAC
42,"Wingard, Andrew",DB,ACT,"6'0""",72,0.1793201,209,12/5/1996,0,Wyoming,JAX
87,"Swaim, Geoff",TE,ACT,"6'4""",76,0.178668862,260,9/16/1993,5,Texas,JAX
73,"Nijman, Yosh",OT,ACT,"6'7""",79,0.178171186,314,2/2/1996,0,Virginia Tech,GB
70,"Davenport, Julie'n",OT,ACT,"6'7""",79,0.177453174,325,1/9/1995,3,Bucknell,HOU
90,"McIntosh, R.J.",DT,ACT,"6'5""",77,0.176632785,293,6/2/1996,2,Miami (Fla.),NYG
73,"Beckner, Terry",DT,ACT,"6'4""",76,0.176388226,296,3/2/1997,0,Missouri,TB
76,"Wynn, Isaiah",OT,ACT,"6'2""",74,0.175494732,310,12/9/1995,2,Georgia,NE
56,"Nelson, Quenton",OG,ACT,"6'5""",77,0.175378226,330,3/19/1996,2,Notre Dame,IND
12,"Louis, Stephen",WR,ACT,"6'2""",74,0.175292699,215,9/7/1995,0,North Carolina State,HOU
13,"Johnson, Tyron",WR,ACT,"6'1""",73,0.175202053,193,1/8/1996,0,Oklahoma State,HOU
59,"Mayo, David",OLB,ACT,"6'2""",74,0.174589045,240,8/8/1993,5,Texas State,SF
88,"Wood, Trevor",TE,ACT,"6'6""",78,0.174210464,265,1/25/1996,0,Texas A&M,PIT
60,"Rush, Anthony",NT,ACT,"6'5""",77,0.174053233,350,//,0,Alabama-Birmingham,OAK
45,"Hull, Mike",LB,ACT,"6'0""",72,0.173789133,232,5/25/1991,4,Penn State,MIA
88,"Montgomery, Ty",RB,ACT,"6'0""",72,0.173655691,216,1/22/1993,5,Stanford,NYJ
13,"Reilly, Brandon",WR,ACT,"6'2""",74,0.173631167,200,9/24/1993,1,Nebraska,PIT
37,"Flowers, Tre",CB,ACT,"6'3""",75,0.173551974,203,6/2/1995,2,Oklahoma State,SEA
19,"Grant, Jakeem",WR,ACT,"5'7""",67,0.17343585,171,10/30/1992,4,Texas Tech,MIA
29,"Fuller, Kendall",CB,ACT,"5'11""",71,0.173320324,198,2/13/1995,4,Virginia Tech,KC
60,"Williams, Isaiah",OG,ACT,"6'3""",75,0.17330867,306,5/5/1993,1,Akron,BAL
75,"Bulaga, Bryan",OT,ACT,"6'5""",77,0.173114931,314,3/21/1989,10,Iowa,GB
17,"Joseph, Greg",K,ACT,"6'0""",72,0.172929626,208,8/4/1994,2,Florida Atlantic,CLE
58,"Barrett, Shaquil",LB,ACT,"6'2""",74,0.172879026,250,11/17/1992,6,Colorado State,TB
44,"Juszczyk, Kyle",FB,ACT,"6'1""",73,0.172516303,235,4/23/1991,7,Harvard,SF
47,"Johnson, Jakob",FB,ACT,"6'3""",75,0.171846652,255,12/15/1994,1,Tennessee,NE
99,"Woods, Antwaun",DT,ACT,"6'1""",73,0.171647442,310,1/3/1993,2,USC,DAL
85,"Davis, Vernon",TE,ACT,"6'3""",75,0.171458682,248,1/31/1984,14,Maryland,WAS
62,"Morris, Patrick",C,ACT,"6'3""",75,0.170291455,300,2/13/1995,1,Texas Christian,PIT
35,"Elston, Trae",DB,ACT,"6'0""",72,0.169553266,203,2/16/1994,2,Mississippi,PHI
38,"Reavis, C.J.",DB,ACT,"6'0""",72,0.169544711,198,11/27/1995,1,Marshall,JAX
86,"Firkser, Anthony",TE,ACT,"6'2""",74,0.169326151,246,2/19/1995,2,Harvard,TEN
9,"Gay, Matt",K,ACT,"6'0""",72,0.16899836,232,3/15/1994,0,Utah,TB
58,"McKinzy, Cassanova",LB,ACT,"6'3""",75,0.168678672,252,11/17/1992,2,Auburn,WAS
21,"Harmon, Duron",SS,ACT,"6'1""",73,0.168246028,205,1/24/1991,7,Rutgers,NE
85,"Hollins, Alexander",WR,ACT,"6'1""",73,0.16806599,166,11/24/1996,0,Eastern Illinois,MIN
59,"Biegel, Vince",LB,ACT,"6'3""",75,0.167834181,246,7/2/1993,3,Wisconsin,NO
6,"Driskel, Jeff",QB,ACT,"6'4""",76,0.167190403,235,4/23/1993,4,Louisiana Tech,CIN
59,"Vigil, Nick",OLB,ACT,"6'2""",74,0.166709522,235,8/20/1993,4,Utah State,CIN
49,"Ezeala, Christopher",RB,ACT,"5'11""",71,0.166493469,248,9/19/1995,1,Unknown,BAL
21,"Butler, Malcolm",CB,ACT,"5'11""",71,0.166069331,190,3/2/1990,6,West Alabama,TEN
51,"Bentley, Ja'Whaun",LB,ACT,"6'2""",74,0.16546876,255,8/24/1996,2,Purdue,NE
5,"Palardy, Michael",P,ACT,"5'11""",71,0.165373842,200,7/6/1992,4,Tennessee,CAR
19,"Grant, Ryan",WR,ACT,"6'0""",72,0.16528778,195,12/19/1990,6,Tulane,OAK
12,"Jackson, Blake",WR,CUT,"5'10""",70,0.165259573,200,3/7/1994,1,Mary Hardin-Baylor,CLE
76,"Anderson, Abdullah",DT,ACT,"6'4""",76,0.164847965,295,1/24/1996,1,Bucknell,CHI
46,"Johnson, Malcolm",RB,ACT,"6'1""",73,0.164754831,231,8/11/1992,3,Mississippi State,GB
2,"Crosby, Mason",K,ACT,"6'1""",73,0.164090332,207,9/3/1984,13,Colorado,GB
72,"Wells, Josh",OT,ACT,"6'6""",78,0.163952145,306,2/14/1991,5,James Madison,JAX
89,"Sample, Drew",TE,ACT,"6'5""",77,0.163501828,258,4/16/1996,0,Washington,CIN
54,"Grugier-Hill, Kamu",OLB,ACT,"6'2""",74,0.163281836,230,5/16/1994,4,Eastern Illinois,PHI
29,"Boddy-Calhoun, Briean",CB,ACT,"5'9""",69,0.162646209,193,1/21/1993,4,Minnesota,HOU
29,"Elder, Corn",CB,ACT,"5'10""",70,0.162204604,185,10/9/1994,3,Miami (Fla.),CAR
40,"Wilson, Brandon",DB,ACT,"5'10""",70,0.161127482,200,7/27/1994,3,Houston,CIN
6,"Vedvik, Kaare",P,ACT,"6'3""",75,0.160993858,210,3/16/1994,1,Marshall,BAL
97,"Addison, Mario",DE,ACT,"6'3""",75,0.160792517,260,9/6/1987,9,Troy,CAR
92,"Maloata, Austin",DT,ACT,"6'1""",73,0.160736308,305,2/11/1996,0,Austin Peay State,WAS
69,"Kaufusi, Corbin",DE,ACT,"6'9""",81,0.160671411,275,4/12/1993,0,Brigham Young,NO
40,"Watson, Brandon",DB,ACT,"5'11""",71,0.160341719,198,7/11/1995,0,Michigan,JAX
5,"Gonzalez, Zane",K,ACT,"6'0""",72,0.16012966,202,5/7/1995,3,Arizona State,ARI
77,"Benenoch, Caleb",OG,ACT,"6'5""",77,0.159853181,305,8/8/1994,4,UCLA,TB
10,"Pryor, Terrelle",WR,ACT,"6'4""",76,0.15960081,228,6/20/1989,7,Ohio State,JAX
48,"Bellamy, Davin",LB,ACT,"6'5""",77,0.159343731,259,12/27/1994,1,Georgia,HOU
9,"Walton, Mark",RB,ACT,"5'10""",70,0.159263074,200,3/29/1997,2,Miami (Fla.),MIA
62,"Saint-Amour, Anree",DE,ACT,"6'3""",75,0.159252742,260,9/18/1996,0,Georgia Tech,MIN
69,"Yarbrough, John",C,ACT,"6'4""",76,0.159101273,302,//,0,Richmond,CLE
45,"Nix-Jones, Roosevelt",FB,ACT,"5'11""",71,0.158926603,248,3/30/1992,5,Kent State,PIT
53,"Ximines, Oshane",LB,ACT,"6'4""",76,0.158132246,252,12/7/1996,0,Old Dominion,NYG
10,"Smith, Tre'Quan",WR,ACT,"6'2""",74,0.15782199,210,1/7/1996,2,Central Florida,NO
32,"Luke, Cole",CB,ACT,"5'11""",71,0.157725221,200,6/30/1995,2,Notre Dame,CAR
56,"Jackson, Joe",DE,ACT,"6'4""",76,0.157543891,285,12/20/1996,0,Miami (Fla.),DAL
58,"Jones, Alvin",LB,ACT,"5'10""",70,0.157232689,230,12/2/1994,1,Texas-El Paso,BAL
21,"Hughes, Mike",CB,ACT,"5'10""",70,0.156870609,189,2/11/1997,2,Central Florida,MIN
82,"Walker, Delanie",TE,ACT,"6'2""",74,0.156459417,248,8/12/1984,14,Central Missouri State,TEN
99,"Grissom, Geneo",DE,ACT,"6'4""",76,0.15635684,265,6/4/1992,5,Oklahoma,NO
83,"Boyd, Tyler",WR,ACT,"6'2""",74,0.156186912,203,11/15/1994,4,Pittsburgh,CIN
77,"Gray, Derwin",OT,ACT,"6'4""",76,0.156029386,320,5/10/1995,0,Maryland,PIT
38,"Elliott, Javien",CB,ACT,"5'11""",71,0.155751113,175,7/18/1993,4,Florida State,CAR
93,"Ivie, Joey",DT,ACT,"6'3""",75,0.155718481,301,1/22/1995,1,Florida,KC
70,"Thomas, Brandon",OG,ACT,"6'3""",75,0.155330917,317,2/18/1991,2,Clemson,JAX
24,"Carr, Brandon",CB,ACT,"6'0""",72,0.154205836,210,5/19/1986,12,Grand Valley State,BAL
49,"Scotland-Williamson, Christian",TE,ACT,"6'9""",81,0.154067513,274,7/5/1993,1,No College,PIT
91,"Watkins, Carlos",DE,ACT,"6'3""",75,0.15348854,297,12/5/1993,3,Clemson,HOU
70,"Ford, Cody",OT,ACT,"6'3""",75,0.153326838,329,12/28/1996,0,Oklahoma,BUF
46,"Smith, Marcus",LB,ACT,"6'3""",75,0.153122277,258,3/31/1992,5,Louisville,WAS
75,"Koloamatangi, Leo",C,ACT,"6'5""",77,0.152986171,305,5/9/1994,1,Hawaii,DET
25,"Mattison, Alexander",RB,ACT,"5'11""",71,0.152704659,220,6/19/1998,0,Boise State,MIN
88,"Gesicki, Mike",TE,ACT,"6'6""",78,0.15252781,250,10/3/1995,2,Penn State,MIA
79,"Mills, Jordan",OT,ACT,"6'5""",77,0.152356495,316,12/24/1990,7,Louisiana Tech,MIA
48,"Keizer, Nick",TE,ACT,"6'4""",76,0.151752221,251,5/2/1995,1,Grand Valley State,KC
93,"Basham, Tarell",DE,ACT,"6'4""",76,0.151110162,266,3/18/1994,3,Ohio U.,NYJ
49,"Strachan, Connor",LB,ACT,"6'0""",72,0.150123092,230,6/30/1995,0,Boston College,JAX
63,"Johnson, Roderick",OT,ACT,"6'6""",78,0.149999788,306,11/28/1995,3,Florida State,HOU
53,"Pouncey, Mike",C,ACT,"6'5""",77,0.149995665,298,7/24/1989,9,Florida,LAC
61,"Webster, Ken",DB,ACT,"5'11""",71,0.149993155,201,6/19/1996,0,Mississippi,NE
60,"Morse, Mitch",C,ACT,"6'6""",78,0.149797721,305,4/21/1992,5,Missouri,BUF
92,"Dunn, Brandon",NT,ACT,"6'2""",74,0.149663786,310,9/5/1992,4,Louisville,HOU
92,"Kerr, Zach",DE,ACT,"6'2""",74,0.14940539,334,8/29/1990,6,Delaware,DEN
44,"Golden, Markus",LB,ACT,"6'3""",75,0.148928465,260,3/13/1991,5,Missouri,NYG
98,"Williams, Xavier",NT,ACT,"6'2""",74,0.148499265,309,1/18/1992,5,Northern Iowa,KC
17,"Adams, Davante",WR,ACT,"6'1""",73,0.14792974,215,12/24/1992,6,Fresno State,GB
30,"McNichols, Jeremy",RB,ACT,"5'9""",69,0.147876177,205,12/26/1995,1,Boise State,TEN
43,"Van Ginkel, Andrew",OLB,ACT,"6'4""",76,0.147768039,242,7/1/1995,0,Wisconsin,MIA
91,"Goldman, Eddie",NT,ACT,"6'4""",76,0.147437166,320,1/6/1994,5,Florida State,CHI
64,"Kline, Josh",OG,ACT,"6'3""",75,0.1473819,300,12/29/1989,7,Kent State,MIN
68,"Hall, Terez",LB,ACT,"6'2""",74,0.147223638,235,11/18/1996,0,Missouri,NE
64,"Kelemete, Senio",OG,ACT,"6'3""",75,0.146970312,301,5/10/1990,7,Washington,HOU
80,"Croom, Jason",TE,ACT,"6'5""",77,0.146800491,246,2/28/1994,2,Tennessee,BUF
28,"Hargreaves, Vernon III",CB,ACT,"5'10""",70,0.146339695,204,6/3/1995,4,Florida,TB
24,"Williams, K'Waun",DB,ACT,"5'9""",69,0.145588625,185,7/12/1991,5,Pittsburgh,SF
40,"Bolton, Curtis",LB,ACT,"6'0""",72,0.14541723,228,12/18/1995,0,Oklahoma,GB
